cover_id,original_id,lcs_similarity,levenshtein_similarity,pitch_hist_similarity,dtw_distance,is_correct
2,24,0.853868,0.764103,0.641177,,0
2,25,0.904494,0.825641,0.287615,,0
2,26,0.809639,0.763636,0.665050,,0
2,27,0.853535,0.830846,0.429854,,0
2,28,0.889488,0.794872,0.321307,,0
2,29,0.789238,0.693227,0.441917,,0
2,30,0.779904,0.730942,0.457115,,0
2,31,0.870027,0.810256,0.695954,,0
2,32,0.770149,0.661538,0.450936,,0
2,33,0.897297,0.835897,0.296572,,0
2,34,0.828431,0.788732,0.767207,,0
2,35,0.861702,0.825641,0.332290,,0
2,36,0.779904,0.730942,0.375874,,0
2,37,0.892473,0.825641,0.420341,,0
2,38,0.820225,0.743590,0.632065,,0
2,39,0.876923,0.794872,0.309811,,0
2,40,0.822823,0.702564,0.284293,,0
2,41,0.893048,0.830769,0.305397,,0
2,42,0.800948,0.740088,0.291884,,0
2,43,0.896175,0.825641,0.418487,,0
2,44,0.804762,0.751111,0.497057,,0
2,45,0.815190,0.805000,0.334160,,0
2,46,0.903047,0.830769,0.460214,,0
2,47,0.869792,0.830769,0.479231,,0
2,48,0.875648,0.830769,0.569819,,0
2,49,0.828169,0.748718,0.607115,,0
2,50,0.815348,0.761261,0.852574,,0
2,51,0.820000,0.790244,0.385450,,0
2,52,0.834320,0.723077,0.871391,,0
2,53,0.881720,0.810256,0.309305,,0
2,54,0.846561,0.758974,0.489780,,0
2,55,0.857971,0.753846,0.435748,,0
2,56,0.882353,0.810256,0.324115,,0
2,57,0.834171,0.807882,0.896938,,0
2,58,0.885714,0.794872,0.640511,,0
2,59,0.840580,0.738462,0.707488,,0
2,60,0.873950,0.784615,0.591687,,0
2,61,0.765027,0.671795,0.268826,,0
2,62,0.828283,0.805970,0.614575,,0
2,63,0.839196,0.812808,0.739720,,0
2,64,0.852041,0.796954,0.444201,,0
2,65,0.843243,0.753846,0.317951,,0
2,66,0.869333,0.825641,0.826135,,0
2,67,0.869792,0.830769,0.708827,,0
2,68,0.850515,0.841026,0.481913,,0
2,69,0.868895,0.835897,0.620030,,0
2,70,0.869333,0.810256,0.528389,,0
2,71,0.899183,0.820513,0.811301,,0
2,72,0.872521,0.789744,0.665142,,0
2,73,0.747774,0.646154,0.529802,,0
2,74,0.836634,0.799043,0.531243,,0
2,75,0.852713,0.794872,0.686499,,0
2,76,0.832335,0.712821,0.517414,,0
2,77,0.825959,0.717949,0.849543,,0
2,78,0.846348,0.821782,0.387212,,0
2,79,0.878553,0.830769,0.589384,,0
2,80,0.887139,0.820513,0.349280,,0
3,1,0.847761,0.754190,0.816174,,0
3,2,0.833876,0.715084,0.830767,,0
3,3,0.823864,0.737430,0.919530,37.25515634260152,1
3,4,0.794203,0.754190,0.805018,,0
3,5,0.831250,0.737430,0.909854,,0
3,6,0.812500,0.770950,0.859251,,0
3,7,0.790850,0.675978,0.782248,,0
3,8,0.700252,0.633028,0.675802,,0
3,9,0.792651,0.722772,0.647389,,0
3,10,0.715789,0.676617,0.789230,,0
3,11,0.774725,0.745946,0.735816,,0
3,12,0.775920,0.648045,0.729946,,0
3,13,0.829132,0.743017,0.819482,,0
3,14,0.818182,0.754190,0.605074,,0
3,15,0.850000,0.754190,0.413268,,0
3,16,0.819484,0.787709,0.748931,,0
3,17,0.748052,0.684466,0.936412,,0
3,18,0.819672,0.754011,0.692971,,0
3,19,0.640000,0.552846,0.662452,,0
3,20,0.795640,0.734043,0.516800,,0
3,21,0.758427,0.731844,0.926261,,0
3,22,0.729659,0.678218,0.926288,,0
3,23,0.851190,0.759777,0.472306,,0
3,24,0.834835,0.759777,0.496543,,0
3,25,0.776471,0.737430,0.768186,,0
3,26,0.696742,0.631818,0.600775,,0
3,27,0.742105,0.696517,0.929978,,0
3,28,0.800000,0.748603,0.857029,,0
3,29,0.716279,0.609562,0.904977,,0
3,30,0.671642,0.605381,0.732902,,0
3,31,0.764543,0.747253,0.564661,,0
3,32,0.821317,0.726257,0.833688,,0
3,33,0.796610,0.754190,0.789357,,0
3,34,0.724490,0.661972,0.324081,,0
3,35,0.738889,0.734807,0.672632,,0
3,36,0.666667,0.600897,0.844852,,0
3,37,0.797753,0.748603,0.547758,,0
3,38,0.835294,0.743017,0.707888,,0
3,39,0.823529,0.758974,0.744513,,0
3,40,0.845426,0.743017,0.888099,,0
3,41,0.815642,0.770950,0.833282,,0
3,42,0.719212,0.643172,0.841258,,0
3,43,0.805714,0.759777,0.734398,,0
3,44,0.717822,0.644444,0.769092,,0
3,45,0.691293,0.655000,0.845196,,0
3,46,0.794203,0.765363,0.720969,,0
3,47,0.771739,0.751323,0.701778,,0
3,48,0.794595,0.753927,0.778305,,0
3,49,0.831858,0.759777,0.792040,,0
3,50,0.713217,0.644144,0.431527,,0
3,51,0.703125,0.658537,0.964926,,0
3,52,0.850932,0.754190,0.378533,,0
3,53,0.775281,0.759777,0.880379,,0
3,54,0.823204,0.743169,0.746421,,0
3,55,0.844985,0.754190,0.846100,,0
3,56,0.787709,0.737430,0.768321,,0
3,57,0.738220,0.689655,0.473993,,0
3,58,0.820359,0.754190,0.402930,,0
3,59,0.844985,0.770950,0.552561,,0
3,60,0.809384,0.748603,0.760305,,0
3,61,0.811429,0.709497,0.758394,,0
3,62,0.715789,0.666667,0.542431,,0
3,63,0.743455,0.699507,0.308563,,0
3,64,0.771277,0.705584,0.898624,,0
3,65,0.836158,0.759777,0.860367,,0
3,66,0.752089,0.727778,0.390108,,0
3,67,0.766304,0.735450,0.451571,,0
3,68,0.731183,0.704663,0.902134,,0
3,69,0.750670,0.711340,0.840066,,0
3,70,0.768802,0.744444,0.864447,,0
3,71,0.820513,0.770950,0.404724,,0
3,72,0.836795,0.765363,0.862060,,0
3,73,0.791277,0.687151,0.625985,,0
3,74,0.721649,0.665072,0.824906,,0
3,75,0.770889,0.723958,0.410124,,0
3,76,0.849057,0.754190,0.963595,,0
3,77,0.848297,0.759777,0.321708,,0
3,78,0.740157,0.693069,0.914302,,0
3,79,0.792453,0.750000,0.721862,,0
3,80,0.810959,0.763441,0.669340,,0
4,1,0.820669,0.780347,0.549732,,0
4,2,0.850498,0.739884,0.587869,,0
4,3,0.687861,0.670520,0.831884,,0
4,4,0.943953,0.907514,0.952932,40.51846071069458,1
4,5,0.777070,0.705202,0.862296,,0
4,6,0.947977,0.913295,0.627533,,0
4,7,0.726667,0.630058,0.485010,,0
4,8,0.859335,0.770642,0.720654,,0
4,9,0.885333,0.821782,0.769965,,0
4,10,0.882353,0.820896,0.440617,,0
4,11,0.938547,0.908108,0.979863,,0
4,12,0.730375,0.618497,0.375566,,0
4,13,0.746439,0.713483,0.657374,,0
4,14,0.913580,0.855491,0.668661,,0
4,15,0.878981,0.797688,0.515069,,0
4,16,0.932945,0.901734,0.396578,,0
4,17,0.881266,0.810680,0.594782,,0
4,18,0.900000,0.828877,0.281541,,0
4,19,0.801909,0.682927,0.363421,,0
4,20,0.914127,0.861702,0.651383,,0
4,21,0.942857,0.915254,0.835079,,0
